,CountryName,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
44,Denmark,Women,,,83.0,0.89,71.0,74.9,0.4,,,,4.1,82.8,7.6,1.29,,95.0,,70.0,,505.0,15.94,,94.0,19.9
45,Estonia,High,,,,,,,,,,,2.43,,6.3,,,92.0,,79.0,,562.0,,,,
46,Estonia,Low,,,,,,,,,,,8.03,,5.4,,,89.0,,33.0,,494.0,,,,
47,Estonia,Men,,,85.0,3.72,77.0,80.7,4.9,,,,4.1,73.3,5.8,2.22,,91.0,,56.0,,521.0,15.33,,85.0,17.1
48,Estonia,Total,8.0,7.0,89.0,2.42,74.0,69.0,3.1,19697.0,159373.0,17.0,3.8,77.8,5.7,1.92,24336.0,92.0,1.6,53.0,2.7,524.0,14.9,64.0,84.0,17.7
49,Estonia,Women,,,92.0,1.17,71.0,59.2,1.5,,,,3.6,82.2,5.7,1.61,,92.0,,51.0,,528.0,14.43,,83.0,18.3
50,Finland,High,,,,,,,,,,,3.41,,8.2,,,97.0,,83.0,,562.0,,,,
51,Finland,Low,,,,,,,,,,,7.43,,7.2,,,92.0,,57.0,,487.0,,,,
52,Finland,Men,,,85.0,5.72,72.0,94.5,1.9,,,,4.9,78.6,7.5,2.44,,94.0,,72.0,,511.0,15.28,,96.0,19.4
53,Finland,Total,6.0,0.5,88.0,3.81,70.0,85.1,1.3,29943.0,200827.0,23.0,3.9,81.5,7.6,2.13,42964.0,95.0,1.9,70.0,2.2,523.0,15.17,67.0,95.0,19.8
54,Finland,Women,,,91.0,1.92,69.0,76.2,0.6,,,,2.9,84.4,7.8,1.8,,96.0,,69.0,,535.0,15.04,,94.0,20.3
55,France,High,,,,,,,,,,,4.11,,7.3,,,94.0,,72.0,,558.0,,,,
56,France,Low,,,,,,,,,,,15.09,,5.9,,,80.0,,61.0,,442.0,,,,
57,France,Men,,,79.0,10.38,69.0,76.1,0.6,,,,8.1,79.2,6.6,4.2,,90.0,,68.0,,492.0,16.66,,80.0,16.2
58,France,Total,13.0,0.5,78.0,7.67,65.0,70.5,0.5,31304.0,280653.0,21.0,7.6,82.4,6.5,4.0,43755.0,90.0,1.8,66.0,2.1,496.0,16.36,75.0,81.0,16.5
59,France,Women,,,78.0,4.92,62.0,65.5,0.3,,,,7.0,85.5,6.4,3.79,,91.0,,65.0,,499.0,15.99,,82.0,16.8
60,Germany,High,,,,,,,,,,,2.41,,7.4,,,92.0,,79.0,,563.0,,,,
61,Germany,Low,,,,,,,,,,,10.43,,,,,,,52.0,,468.0,,,,
62,Germany,Men,,,88.0,6.41,79.0,77.9,0.5,,,,4.9,78.6,7.0,1.8,,90.0,,67.0,,509.0,15.65,,91.0,18.1
63,Germany,Total,14.0,0.2,87.0,4.26,75.0,72.5,0.5,34294.0,259667.0,20.0,2.7,81.1,7.0,1.57,47585.0,90.0,1.8,65.0,1.8,508.0,15.62,76.0,91.0,18.1
64,Germany,Women,,,85.0,1.92,72.0,67.4,0.5,,,,4.2,83.5,7.0,1.3,,90.0,,64.0,,507.0,15.57,,92.0,18.1
65,Greece,High,,,,,,,,,,,23.78,,6.2,,,88.0,,82.0,,506.0,,,,
66,Greece,Low,,,,,,,,,,,32.72,,4.4,,,67.0,,,,420.0,,,,
67,Greece,Men,,,72.0,8.31,63.0,69.8,1.2,,,,23.7,78.9,5.3,12.62,,79.0,,77.0,,451.0,,,71.0,19.2
68,Greece,Total,18.0,0.5,73.0,6.42,53.0,60.0,0.8,17700.0,150134.0,23.0,29.8,81.5,5.4,15.65,26064.0,80.0,1.2,74.0,1.8,458.0,,64.0,69.0,19.0
69,Greece,Women,,,74.0,4.11,44.0,50.8,0.5,,,,36.0,84.0,5.4,19.42,,80.0,,71.0,,466.0,,,68.0,18.8
70,Hungary,High,,,,,,,,,,,1.62,,6.5,,,,,74.0,,534.0,,,,
71,Hungary,Low,,,,,,,,,,,10.66,,5.1,,,85.0,,52.0,,418.0,,,,
72,Hungary,Men,,,86.0,4.24,75.0,65.6,1.3,,,,4.7,72.6,5.6,1.59,,84.0,,63.0,,472.0,,,77.0,16.3
73,Hungary,Total,19.0,4.7,84.0,3.03,68.0,56.3,1.0,,104458.0,19.0,4.7,76.2,5.6,1.72,22576.0,86.0,1.2,60.0,1.2,474.0,,70.0,77.0,16.4
74,Hungary,Women,,,82.0,1.66,61.0,48.2,0.7,,,,4.6,79.7,5.6,1.87,,87.0,,56.0,,477.0,,,77.0,16.6
75,Iceland,High,,,,,,,,,,,0.59,,8.0,,,99.0,,83.0,,509.0,,,,
76,Iceland,Low,,,,,,,,,,,0.62,,7.4,,,,,68.0,,453.0,,,,
77,Iceland,Men,,,77.0,23.94,88.0,95.1,0.6,,,,0.7,80.4,7.4,0.24,,97.0,,80.0,,473.0,,,99.0,18.3
78,Iceland,Total,3.0,0.0,77.0,15.06,86.0,86.0,0.5,,,24.0,0.7,82.3,7.5,0.26,61787.0,98.0,1.6,76.0,2.1,481.0,,79.0,99.0,19.0
79,Iceland,Women,,,77.0,5.6,83.0,77.8,0.4,,,,0.7,84.1,7.6,0.27,,98.0,,73.0,,488.0,,,98.0,19.8
80,Ireland,High,,,,,,,,,,,4.1,,7.2,,,95.0,,93.0,,550.0,,,,
81,Ireland,Low,,,,,,,,,,,16.32,,,,,,,72.0,,472.0,,,,
82,Ireland,Men,,,79.0,8.25,73.0,83.2,1.1,,,,10.5,79.9,7.0,3.83,,94.0,,83.0,,511.0,,,85.0,18.1
83,Ireland,Total,7.0,1.0,82.0,5.25,67.0,75.9,0.7,25310.0,217130.0,20.0,7.8,81.8,7.0,3.23,47653.0,95.0,2.1,83.0,1.3,509.0,,65.0,85.0,18.1
84,Ireland,Women,,,85.0,2.28,62.0,68.9,0.2,,,,5.2,83.6,7.0,2.55,,96.0,,83.0,,507.0,,,85.0,18.1
85,Israel,High,,,,,,,,,,,,,7.4,,,90.0,,96.0,,514.0,,,,
86,Israel,Low,,,,,,,,,,,,,,,,,,,,421.0,,,,
87,Israel,Men,,,87.0,23.29,72.0,78.0,3.0,,,,,80.7,7.2,0.49,,88.0,,85.0,,470.0,,,68.0,15.2
88,Israel,Total,21.0,,87.0,15.45,69.0,69.8,1.8,,,,4.2,82.5,7.2,0.49,35067.0,88.0,1.2,84.0,2.5,472.0,,72.0,67.0,15.6
89,Israel,Women,,,88.0,7.08,66.0,62.1,0.7,,,,,84.2,7.1,0.48,,88.0,,82.0,,473.0,,,66.0,16.1
90,Italy,High,,,,,,,,,,,6.98,,6.9,,,94.0,,77.0,,524.0,,,,
91,Italy,Low,,,,,,,,,,,16.78,,5.7,,,90.0,,69.0,,445.0,,,,
92,Italy,Men,,,59.0,5.65,67.0,64.8,0.9,,,,12.1,81.0,6.2,6.17,,92.0,,74.0,,489.0,16.95,,73.0,16.2
93,Italy,Total,18.0,0.7,61.0,4.11,58.0,58.4,0.6,26588.0,279889.0,23.0,12.3,83.3,6.0,6.59,36658.0,92.0,1.4,71.0,2.5,485.0,16.47,73.0,71.0,16.6
94,Italy,Women,,,63.0,2.25,49.0,52.6,0.3,,,,12.5,85.6,5.9,7.16,,91.0,,68.0,,482.0,15.52,,69.0,17.0
95,Japan,High,,,,,,,,,,,2.65,,,,,,,39.0,,568.0,,,,
96,Japan,Low,,,,,,,,,,,4.35,,,,,88.0,,28.0,,489.0,,,,
97,Japan,Men,,,,,83.0,81.1,0.2,,,,2.4,81.0,5.8,1.38,,85.0,,37.0,,531.0,,,88.0,16.4
98,Japan,Total,14.0,6.4,,,75.0,72.5,0.2,29798.0,305878.0,22.0,1.4,84.1,5.9,1.03,40863.0,89.0,1.9,36.0,1.4,529.0,,53.0,87.0,16.4
99,Japan,Women,,,,,67.0,64.8,0.2,,,,0.3,87.1,6.0,0.58,,93.0,,34.0,,527.0,,,86.0,16.3
