Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,AgeGroup,AgeGroupCode,SuicideRate
2019,Somalia,SOM,Eastern Mediterranean,EMR,Both sexes,BTSX,25-34 years,YEARS25-34,7.37
2019,Spain,ESP,Europe,EUR,Female,FMLE,75-84 years,YEARS75-84,7.37
2019,Sudan,SDN,Eastern Mediterranean,EMR,Both sexes,BTSX,25-34 years,YEARS25-34,7.37
2019,Sweden,SWE,Europe,EUR,Female,FMLE,15-24 years,YEARS15-24,7.37
2019,China,CHN,Western Pacific,WPR,Both sexes,BTSX,45-54 years,YEARS45-54,7.38
2019,Fiji,FJI,Western Pacific,WPR,Female,FMLE,55-64 years,YEARS55-64,7.38
2019,Malaysia,MYS,Western Pacific,WPR,Both sexes,BTSX,45-54 years,YEARS45-54,7.38
2019,Haiti,HTI,Americas,AMR,Female,FMLE,75-84 years,YEARS75-84,7.39
2019,United States,USA,Americas,AMR,Female,FMLE,65-74 years,YEARS65-74,7.39
2019,North Korea,PRK,South-East Asia,SEAR,Both sexes,BTSX,25-34 years,YEARS25-34,7.4
2019,Greece,GRC,Europe,EUR,Both sexes,BTSX,75-84 years,YEARS75-84,7.4
2019,Iran,IRN,Eastern Mediterranean,EMR,Male,MLE,65-74 years,YEARS65-74,7.4
2019,Tunisia,TUN,Eastern Mediterranean,EMR,Male,MLE,25-34 years,YEARS25-34,7.41
2019,Honduras,HND,Americas,AMR,Both sexes,BTSX,65-74 years,YEARS65-74,7.42
2019,South Sudan,SSD,Africa,AFR,Male,MLE,35-44 years,YEARS35-44,7.42
2019,Chile,CHL,Americas,AMR,Both sexes,BTSX,15-24 years,YEARS15-24,7.43
2019,Cuba,CUB,Americas,AMR,Male,MLE,15-24 years,YEARS15-24,7.43
2019,Jordan,JOR,Eastern Mediterranean,EMR,Male,MLE,75-84 years,YEARS75-84,7.44
2019,Spain,ESP,Europe,EUR,Male,MLE,25-34 years,YEARS25-34,7.44
2019,Turkmenistan,TKM,Europe,EUR,Both sexes,BTSX,45-54 years,YEARS45-54,7.44
2019,Italy,ITA,Europe,EUR,Both sexes,BTSX,45-54 years,YEARS45-54,7.45
2019,Mexico,MEX,Americas,AMR,Both sexes,BTSX,25-34 years,YEARS25-34,7.45
2019,Czech Republic,CZE,Europe,EUR,Female,FMLE,55-64 years,YEARS55-64,7.46
2019,Slovenia,SVN,Europe,EUR,Female,FMLE,55-64 years,YEARS55-64,7.46
2019,Philippines,PHL,Western Pacific,WPR,Male,MLE,65-74 years,YEARS65-74,7.48
2019,Qatar,QAT,Eastern Mediterranean,EMR,Both sexes,BTSX,35-44 years,YEARS35-44,7.48
2019,Vietnam,VNM,Western Pacific,WPR,Male,MLE,15-24 years,YEARS15-24,7.48
2019,Cuba,CUB,Americas,AMR,Both sexes,BTSX,25-34 years,YEARS25-34,7.5
2019,El Salvador,SLV,Americas,AMR,Both sexes,BTSX,25-34 years,YEARS25-34,7.5
2019,Colombia,COL,Americas,AMR,Male,MLE,55-64 years,YEARS55-64,7.51
2019,Honduras,HND,Americas,AMR,Male,MLE,55-64 years,YEARS55-64,7.52
2019,Kazakhstan,KAZ,Europe,EUR,Female,FMLE,45-54 years,YEARS45-54,7.52
2019,Russia,RUS,Europe,EUR,Female,FMLE,25-34 years,YEARS25-34,7.52
2019,Gabon,GAB,Africa,AFR,Both sexes,BTSX,25-34 years,YEARS25-34,7.53
2019,Netherlands,NLD,Europe,EUR,Female,FMLE,35-44 years,YEARS35-44,7.53
2019,Tonga,TON,Western Pacific,WPR,Both sexes,BTSX,65-74 years,YEARS65-74,7.53
2019,Ireland,IRL,Europe,EUR,Both sexes,BTSX,15-24 years,YEARS15-24,7.55
2019,Portugal,PRT,Europe,EUR,Female,FMLE,45-54 years,YEARS45-54,7.55
2019,Sierra Leone,SLE,Africa,AFR,Male,MLE,25-34 years,YEARS25-34,7.55
