CountryCode,country-code,iso_3166-2,region-code,sub-region-code,F1,CountryName,region,sub-region,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
COL,170,ISO 3166-2:CO,19,5,31,Colombia,Americas,South America,Low,,,,,,,,,,,,,,,,,,,,378,,,,
COL,170,ISO 3166-2:CO,19,5,30,Colombia,Americas,South America,High,,,,,,,,,,,,,,,,,,,,456,,,,
CZE,203,ISO 3166-2:CZ,150,151,39,Czech Republic,Europe,Eastern Europe,Women,,,92,2.21,66,62.6,0.5,,,,3.5,82.1,6.7,1.28,,91,,59,,493,,,86,18.5
CZE,203,ISO 3166-2:CZ,150,151,38,Czech Republic,Europe,Eastern Europe,Total,20,0.7,94,5.65,74,72.3,0.5,21453,,24,3.1,79.1,6.7,1.04,25372,91,1.4,60,1.6,491,,61,87,17.9
CZE,203,ISO 3166-2:CZ,150,151,37,Czech Republic,Europe,Eastern Europe,Men,,,95,8.63,81,82.7,0.5,,,,2.8,76.1,6.7,0.85,,90,,62,,489,,,87,17.3
CZE,203,ISO 3166-2:CZ,150,151,36,Czech Republic,Europe,Eastern Europe,Low,,,,,,,,,,,25.14,,,,,,,44,,440,,,,
CZE,203,ISO 3166-2:CZ,150,151,35,Czech Republic,Europe,Eastern Europe,High,,,,,,,,,,,1.5,,,,,95,,79,,548,,,,
DNK,208,ISO 3166-2:DK,150,154,44,Denmark,Europe,Northern Europe,Women,,,83,0.89,71,74.9,0.4,,,,4.1,82.8,7.6,1.29,,95,,70,,505,15.94,,94,19.9
DNK,208,ISO 3166-2:DK,150,154,43,Denmark,Europe,Northern Europe,Total,9,0.5,81,2.34,74,83.5,0.6,29606,118637,23,4.2,80.9,7.6,1.31,51466,95,1.9,71,2,504,15.87,86,95,19.5
DNK,208,ISO 3166-2:DK,150,154,42,Denmark,Europe,Northern Europe,Men,,,79,3.72,77,92.3,0.8,,,,4.3,79,7.5,1.34,,96,,72,,503,15.81,,96,19.1
DNK,208,ISO 3166-2:DK,150,154,41,Denmark,Europe,Northern Europe,Low,,,,,,,,,,,6.78,,,,,,,66,,471,,,,
DNK,208,ISO 3166-2:DK,150,154,40,Denmark,Europe,Northern Europe,High,,,,,,,,,,,3.65,,7.9,,,96,,84,,543,,,,
EST,233,ISO 3166-2:EE,150,154,49,Estonia,Europe,Northern Europe,Women,,,92,1.17,71,59.2,1.5,,,,3.6,82.2,5.7,1.61,,92,,51,,528,14.43,,83,18.3
EST,233,ISO 3166-2:EE,150,154,48,Estonia,Europe,Northern Europe,Total,8,7,89,2.42,74,69,3.1,19697,159373,17,3.8,77.8,5.7,1.92,24336,92,1.6,53,2.7,524,14.9,64,84,17.7
