,Country name,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,SuicideRate,Population,death_rate_perc,CountryName,region,sub-region,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
17,Israel,7.332,10.601,0.946,73.5,0.834,0.085,0.743,0.635,0.266,5.15,9053300.0,0.505826605,Israel,Asia,Western Asia,21.0,,87.0,15.45,69.0,69.8,1.8,,,,4.2,82.5,7.2,0.49,35067.0,88.0,1.2,84.0,2.5,472.0,,72.0,67.0,15.6
18,Italy,6.445,10.655,0.838,73.8,0.709,-0.082,0.866,0.631,0.328,4.33,60297396.0,1.066321338,Italy,Europe,Southern Europe,18.0,0.7,61.0,4.11,58.0,58.4,0.6,26588.0,279889.0,23.0,12.3,83.3,6.0,6.59,36658.0,92.0,1.4,71.0,2.5,485.0,16.47,73.0,71.0,16.6
19,Japan,5.908,10.632,0.878,75.1,0.806,-0.255,0.617,0.743,0.194,12.24,126264931.0,1.099097738,Japan,Asia,Eastern Asia,14.0,6.4,,,75.0,72.5,0.2,29798.0,305878.0,22.0,1.4,84.1,5.9,1.03,40863.0,89.0,1.9,36.0,1.4,529.0,,53.0,87.0,16.4
20,South Korea,5.903,10.661,0.783,73.9,0.706,-0.055,0.718,0.684,0.236,21.16,51709098.0,0.568720035,South Korea,Asia,Eastern Asia,28.0,2.5,88.0,,67.0,66.6,1.0,21882.0,285980.0,15.0,2.6,82.4,5.9,0.05,35191.0,78.0,1.5,33.0,2.9,519.0,14.7,77.0,76.0,17.3
21,Latvia,5.97,10.336,0.936,67.1,0.698,-0.194,0.789,0.575,0.212,16.06,1912789.0,1.444592164,Latvia,Europe,Northern Europe,11.0,13.9,88.0,1.27,70.0,62.4,4.8,16275.0,70160.0,23.0,9.6,74.7,5.9,3.35,23683.0,86.0,1.2,47.0,2.2,487.0,13.83,59.0,79.0,18.0
22,Lithuania,6.064,10.518,0.918,67.9,0.78,-0.251,0.783,0.566,0.276,20.15,2786844.0,1.370152043,Lithuania,Europe,Northern Europe,14.0,13.6,93.0,0.54,70.0,55.9,3.4,21660.0,,19.0,,74.8,5.9,2.69,24287.0,88.0,1.5,43.0,2.4,475.0,,51.0,81.0,18.4
23,Luxembourg,7.404,11.648,0.912,72.6,0.93,-0.045,0.39,0.789,0.212,8.62,619896.0,0.691728935,Luxembourg,Europe,Western Europe,12.0,0.5,77.0,3.82,66.0,75.8,0.6,39264.0,769053.0,21.0,1.7,82.8,6.9,2.35,63062.0,93.0,1.9,69.0,1.7,483.0,,91.0,84.0,15.1
24,Mexico,6.432,9.891,0.852,68.6,0.903,-0.141,0.809,0.864,0.252,5.29,127575529.0,0.571339195,Mexico,Americas,Central America,16.0,25.5,38.0,28.7,61.0,41.8,18.1,,,20.0,5.5,75.4,6.5,0.07,15314.0,81.0,1.0,66.0,3.2,416.0,,63.0,68.0,15.2
25,Netherlands,7.425,10.953,0.941,72.4,0.886,0.213,0.36,0.838,0.231,9.27,17332850.0,0.874333996,Netherlands,Europe,Western Europe,14.0,0.1,78.0,0.42,76.0,82.0,0.6,29333.0,157824.0,19.0,4.8,81.6,7.4,1.97,52877.0,91.0,1.9,76.0,2.6,508.0,,82.0,93.0,18.7
26,New Zealand,7.205,10.666,0.939,73.4,0.912,0.157,0.234,0.816,0.191,10.3,4917000.0,0.693268253,New Zealand,Oceania,Australia and New Zealand,5.0,,79.0,15.11,77.0,65.7,1.3,,388514.0,26.0,4.7,81.7,7.3,0.74,40043.0,96.0,2.4,88.0,2.5,506.0,14.87,80.0,89.0,17.7
