Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,SuicideRate,SuicideRateLower,SuicideRateUpper
2009,Germany,DEU,Europe,EUR,Female,FMLE,4.24,3.7,4.82
2009,Vietnam,VNM,Western Pacific,WPR,Female,FMLE,4.29,2.83,6.14
2009,Poland,POL,Europe,EUR,Female,FMLE,4.29,3.97,13.9
2009,Turkmenistan,TKM,Europe,EUR,Female,FMLE,4.34,3.44,5.35
2009,Denmark,DNK,Europe,EUR,Female,FMLE,4.35,3.58,5.24
2009,Timor-Leste,TLS,South-East Asia,SEAR,Both sexes,BTSX,4.41,1.54,7.83
2009,Indonesia,IDN,South-East Asia,SEAR,Male,MLE,4.47,3.23,5.72
2009,Netherlands,NLD,Europe,EUR,Female,FMLE,4.53,3.93,5.2
2009,Honduras,HND,Americas,AMR,Male,MLE,4.6,2.4,9.31
2009,Laos,LAO,Western Pacific,WPR,Female,FMLE,4.62,2.65,7.3
2009,Azerbaijan,AZE,Europe,EUR,Both sexes,BTSX,4.64,2.65,6.71
2009,Papua New Guinea,PNG,Western Pacific,WPR,Male,MLE,4.68,2.67,8.4
2009,St. Vincent and the Grenadines,VCT,Americas,AMR,Male,MLE,4.69,3.56,6.04
2009,Croatia,HRV,Europe,EUR,Female,FMLE,4.72,3.91,5.62
2009,Bolivia,BOL,Americas,AMR,Female,FMLE,4.73,2.52,8.26
2009,Egypt,EGY,Eastern Mediterranean,EMR,Male,MLE,4.74,2.11,9.31
2009,Paraguay,PRY,Americas,AMR,Both sexes,BTSX,4.74,3.1,6.21
2009,Moldova,MDA,Europe,EUR,Female,FMLE,4.77,3.83,5.85
2009,Chile,CHL,Americas,AMR,Female,FMLE,4.78,4.09,5.52
2009,Tunisia,TUN,Eastern Mediterranean,EMR,Male,MLE,4.79,2.66,8.1
2009,Mexico,MEX,Americas,AMR,Both sexes,BTSX,4.81,4.56,5.05
2009,Nigeria,NGA,Africa,AFR,Female,FMLE,4.82,2.56,7.41
2009,Australia,AUS,Western Pacific,WPR,Female,FMLE,4.83,4.2,5.5
2009,Italy,ITA,Europe,EUR,Both sexes,BTSX,4.87,4.57,8.82
2009,Estonia,EST,Europe,EUR,Female,FMLE,4.88,3.8,6.17
2009,Tajikistan,TJK,Europe,EUR,Both sexes,BTSX,4.9,3.2,7.07
2009,Kyrgyz Republic,KGZ,Europe,EUR,Female,FMLE,4.91,3.98,5.99
2009,Cuba,CUB,Americas,AMR,Female,FMLE,4.94,4.18,5.81
2009,Greece,GRC,Europe,EUR,Male,MLE,4.98,4.24,5.8
2009,Ukraine,UKR,Europe,EUR,Male,MLE,40.47,35.71,45.51
2009,"Micronesia, Fed. Sts.",FSM,Western Pacific,WPR,Male,MLE,41.83,23.74,63.07
2009,Suriname,SUR,Americas,AMR,Male,MLE,41.89,31.63,53.74
2009,Mozambique,MOZ,Africa,AFR,Male,MLE,44.58,28.01,65.52
2009,South Africa,ZAF,Africa,AFR,Male,MLE,45.8,32.98,61.03
2009,Central African Republic,CAF,Africa,AFR,Male,MLE,47.81,26.0,77.84
2009,Zimbabwe,ZWE,Africa,AFR,Male,MLE,48.27,25.31,73.89
2009,United States,USA,Americas,AMR,Female,FMLE,5.03,4.82,9.14
2009,Peru,PER,Americas,AMR,Male,MLE,5.04,3.1,6.87
2009,Canada,CAN,Americas,AMR,Female,FMLE,5.04,4.39,5.72
2009,Luxembourg,LUX,Europe,EUR,Female,FMLE,5.05,3.9,6.39
2009,Tonga,TON,Western Pacific,WPR,Both sexes,BTSX,5.06,3.16,7.63
2009,Bangladesh,BGD,South-East Asia,SEAR,Both sexes,BTSX,5.06,3.47,7.3
2009,Panama,PAN,Americas,AMR,Both sexes,BTSX,5.06,4.1,6.16
2009,Iraq,IRQ,Eastern Mediterranean,EMR,Both sexes,BTSX,5.13,3.1,8.34
2009,New Zealand,NZL,Western Pacific,WPR,Female,FMLE,5.13,4.35,5.96
2009,Ireland,IRL,Europe,EUR,Female,FMLE,5.14,4.19,6.16
2009,Maldives,MDV,South-East Asia,SEAR,Male,MLE,5.15,3.41,7.54
2009,Brazil,BRA,Americas,AMR,Both sexes,BTSX,5.19,4.86,9.68
2009,Sudan,SDN,Eastern Mediterranean,EMR,Both sexes,BTSX,5.22,2.57,9.1
2009,Saudi Arabia,SAU,Eastern Mediterranean,EMR,Both sexes,BTSX,5.23,3.67,7.88
2009,Pakistan,PAK,Eastern Mediterranean,EMR,Female,FMLE,5.24,3.5,7.64
2009,Austria,AUT,Europe,EUR,Female,FMLE,5.24,4.43,6.15
2009,Uruguay,URY,Americas,AMR,Female,FMLE,5.27,4.27,6.37
2009,Angola,AGO,Africa,AFR,Female,FMLE,5.35,3.26,8.32
2009,Singapore,SGP,Western Pacific,WPR,Female,FMLE,5.35,4.41,6.39
2009,Bhutan,BTN,South-East Asia,SEAR,Both sexes,BTSX,5.38,3.03,8.9
2009,Nicaragua,NIC,Americas,AMR,Both sexes,BTSX,5.47,3.81,6.95
2009,Malaysia,MYS,Western Pacific,WPR,Both sexes,BTSX,5.47,3.87,7.55
2009,Ecuador,ECU,Americas,AMR,Female,FMLE,5.51,4.43,6.71
2009,Costa Rica,CRI,Americas,AMR,Both sexes,BTSX,5.55,4.65,6.55
2009,Mauritania,MRT,Africa,AFR,Both sexes,BTSX,5.56,2.94,9.68
2009,Spain,ESP,Europe,EUR,Both sexes,BTSX,5.62,4.92,6.36
2009,Dominican Republic,DOM,Americas,AMR,Both sexes,BTSX,5.63,3.73,8.33
2009,Libya,LBY,Eastern Mediterranean,EMR,Both sexes,BTSX,5.65,3.3,9.06
2009,Uganda,UGA,Africa,AFR,Female,FMLE,5.7,3.26,9.47
2009,Iran,IRN,Eastern Mediterranean,EMR,Both sexes,BTSX,5.71,4.75,7.25
2009,Ukraine,UKR,Europe,EUR,Female,FMLE,5.73,4.95,6.58
2009,Gabon,GAB,Africa,AFR,Female,FMLE,5.74,3.29,9.22
2009,Yemen,YEM,Eastern Mediterranean,EMR,Female,FMLE,5.75,3.01,9.74
