Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,SuicideRate,SuicideRateLower,SuicideRateUpper
2008,Brunei Darussalam,BRN,Western Pacific,WPR,Both sexes,BTSX,1.81,1.28,2.47
2008,Myanmar,MMR,South-East Asia,SEAR,Female,FMLE,1.86,1.09,2.95
2008,Mauritius,MUS,Africa,AFR,Female,FMLE,1.9,1.46,2.44
2008,Lebanon,LBN,Eastern Mediterranean,EMR,Female,FMLE,1.92,1.13,3.01
2008,Dominican Republic,DOM,Americas,AMR,Female,FMLE,1.93,1.24,2.9
2008,Panama,PAN,Americas,AMR,Female,FMLE,1.98,1.5,2.56
2008,Azerbaijan,AZE,Europe,EUR,Female,FMLE,1.99,1.31,2.89
2008,Denmark,DNK,Europe,EUR,Both sexes,BTSX,10.04,8.59,11.67
2008,Liberia,LBR,Africa,AFR,Male,MLE,10.1,5.29,18.7
2008,Niger,NER,Africa,AFR,Both sexes,BTSX,10.14,5.44,17.52
2008,Fiji,FJI,Western Pacific,WPR,Both sexes,BTSX,10.2,7.2,13.9
2008,Nepal,NPL,South-East Asia,SEAR,Both sexes,BTSX,10.21,5.5,15.3
